,Title,Year,in_criterion
511,Fear of Fear,1975,False
512,Feeling Good,2010,False
513,Feet First,1930,False
514,Felix Comes Back,1922,False
515,Ferdinando and Carolina,1999,False
516,Fermat's Room,2007,False
517,Festival,1967,True
518,Fiend Without A Face,1958,False
519,Fight Without Hate,1948,False
520,Fighting Elegy,1966,True
521,Fireman Save My Child,1919,False
522,Fires On the Plain,1959,False
523,Fireworks,1997,False
524,Fireworks Over the Sea,1951,False
525,First,2012,False
526,First Man Into Space,1959,False
527,Fish Tank,2009,True
528,Fishing with John - Episode 1: Montauk with Jim Jarmusch,1991,False
529,Fishing with John - Episode 2: Jamaica with Tom Waits,1991,False
530,Fishing with John - Episode 3: Costa Rica with Matt Dillon,1991,False
531,Fishing with John - Episode 4: Maine with Willem Dafoe,1991,False
532,"Fishing with John - Episode 5: Thailand with Dennis Hopper,...",1991,False
533,"Fishing with John - Episode 6: Thailand with Dennis Hopper,...",1991,False
534,Fists in the Pocket,1965,True
535,Five Corners,1987,False
536,Five Miles Out,2009,False
537,Flamingo Road,1949,False
538,Flesh and the Devil,1926,False
539,Floating Clouds,1955,False
540,Floating Weeds,1959,True
541,Flowing,1956,False
542,"Flunky, Work Hard!",1931,False
543,Following,1998,True
544,For All Mankind,1989,True
545,For Heaven's Sake,1926,False
546,Foreign Correspondent,1940,True
547,Forget Me Not,1936,False
548,Forza Bastia,2002,False
549,Fountainhead,1956,False
550,Four Weddings and a Funeral,1994,False
551,Fox and His Friends,1975,True
552,Frankenstein Created Woman,1967,False
553,Frankenstein Must Be Destroyed!,1969,False
554,French Cancan,1955,True
555,Freshwater Assassins,1947,False
556,Frisco Jenny,1932,False
557,From the Life of the Marionettes,1980,True
558,Frownland,2007,False
559,Full Moon in Paris,1984,False
560,Funny Games,1997,False
561,Fårö Document 1979,1980,True
562,Gai dimanche,1935,False
563,Games of the XXI Olympiad,1977,False
564,Gap-Toothed Women,1987,False
565,Garlic Is as Good as Ten Mothers,1980,False
566,Gaslight,1944,False
567,Gate of Flesh,1964,True
568,Gate of Hell,1953,True
569,Gates of Heaven,1978,True
570,General Della Rovere,1959,False
571,General Idi Amin Dada,1974,False
572,Genocide,1968,True
573,George Washington,2000,True
574,Germany Year Zero,1947,True
575,Gertrud,1964,True
576,"Ghidorah, the Three-Headed Monster",1964,False
577,Gimme Shelter,1970,True
578,Ginza Cosmetics,1951,False
579,Girl Shy,1924,False
580,Girl With Green Eyes,1964,False
581,Girlfriends,1978,False
582,"God Respects Us When We Work, but Loves Us When We Dance",1968,False
583,God's Country,1985,False
584,Gods of the Plague,1969,True
585,Godzilla,1954,True
586,Godzilla Raids Again,1955,False
587,Godzilla vs. Mechagodzilla,1974,False
588,Godzilla vs. Megalon,1973,False
589,"Godzilla, King of the Monsters!",1956,False
590,"Goke, Body Snatcher from Hell",1968,False
591,Gold and Glory,1953,False
592,Golden Demon,1954,False
593,Golden Eyes,1968,False
594,Gomorrah,2008,True
595,Gonza the Spearman,1986,False
596,Good Morning,1959,True
597,"Goodbye, Mr. Chips",1939,False
598,Grand Hotel,1932,False
599,Gray's Anatomy,1997,False
600,Great Expectations,1946,True
601,Green Dolphin Street,1947,False
602,Green for Danger,1947,True
603,Green Grow the Rushes,1951,False
604,Grey Gardens,1976,True
605,Guelwaar,1993,False
606,Gunga Din,1939,False
607,Guy and Madeline on a Park Bench,2009,False
608,Hairat,2017,False
609,Hamlet,1996,False
610,Hamlet,1948,True
611,Hamsun,1996,False
612,Hand in Hand,1989,False
613,Hands Over the City,1963,False
614,Hans Christian Andersen,1952,False
615,Hanzo the Razor: Sword of Justice,1972,False
616,Hanzo the Razor: The Snare,1973,False
617,Hanzo the Razor: Who's Got the Gold?,1974,False
618,Happy Anniversary,1962,False
619,Happy Together,1997,False
620,Harakiri,1962,True
621,"Harlan County, U.S.A.",1976,False
622,Harlan: In the Shadow of Jew Süss,2008,False
623,Harnessed Rhythm,1936,False
624,Harper,1966,False
625,"He Loves Me, He Loves Me Not",2002,False
626,He Who Gets Slapped,1924,False
627,Heart of a Dog,2015,True
628,Hearts and Minds,1974,True
629,Heat Wave,1991,False
630,Heaven Can Wait,1943,True
631,Heavens Above!,1963,False
632,Heifetz Master Class: Episode 1,1962,False
633,Heifetz Master Class: Episode 2,1962,False
634,Heifetz Master Class: Episode 3,1962,False
635,Heifetz Master Class: Episode 4,1962,False
636,Heifetz Master Class: Episode 5,1962,False
637,Heifetz Master Class: Episode 6,1962,False
638,Heifetz Master Class: Episode 7,1962,False
639,Heifetz Master Class: Episode 8,1962,False
640,Henry V,1944,True
641,Her Brother,1960,False
642,Here is Your Life,1966,False
643,Here's to the Young Lady,1949,False
644,Heroes for Sale,1933,False
645,High and Dizzy,1920,False
646,High and Low,1963,True
647,High Hopes,1988,False
648,High Sierra,1941,False
649,High Society,1956,False
650,Higher and Higher,1943,False
651,Himiko,1974,False
652,"Hiroshima, Mon Amour",1959,False
653,His Royal Slyness,1920,False
654,History Is Made at Night,1937,False
655,Hitler's Hollywood,2017,False
656,Hobson's Choice,1954,False
657,Home,2016,False
658,Honeysuckle Rose,1980,False
659,Honky Tonk,1941,False
660,Hoop Dreams,1994,True
661,Hopscotch,1980,True
662,Horror of Dracula,1958,False
663,Hot Pepper,1973,False
664,Hot-Toe Mollie,1930,False
665,Hotel,1967,False
666,Hotel du Nord,1938,False
667,Hotel Monterey,1972,True
668,Hour of the Wolf,1968,True
669,House,1977,True
670,How Some Jellyfish are Born,1960,False
671,How to Get Ahead in Advertising,1988,True
672,"Humain, Trop Humain",1973,False
673,Human Voice,2014,False
674,Humanity and Paper Balloons,1937,False
675,Humoresque,1946,False
676,Hunger,2008,True
677,Hunger,1974,False
678,Hunter in the Dark,1979,False
679,Hyas and Stenorhynchus,1927,False
680,Hydrangea,2017,False
681,Hyenas,1992,False
682,Hype!,1996,False
683,Häxan: Witchcraft Through the Ages,1922,False
684,I Am Curious - Yellow,1967,False
685,I Am Curious—Blue,1967,True
686,I Am Sam,2001,False
687,I am Waiting,1957,False
688,I Dood It,1943,False
689,I Fidanzati,1962,False
690,"I Flunked, But...",1930,False
691,"I Graduated, But...",1929,False
692,I Hate But Love,1962,True
693,I Knew Her Well,1965,True
694,I Know Where I'm Going!,1945,False
695,I Live In Fear,1955,False
696,I Married A Witch,1942,False
697,I Never Sang for My Father,1970,False
698,I See A Dark Stranger,1946,False
699,I Shot Jesse James,1949,True
700,I Vitelloni,1953,False
701,I Walked With A Zombie,1943,False
702,I Was a Teenage Zombie,1987,False
703,"I Was Born, But...",1932,False
704,I Will Buy You,1956,True
705,I'm All Right Jack,1959,False
706,Ich möchte kein Mann sein,1918,False
707,Identification of a Woman,1982,True
708,Ikiru,1952,True
709,Il Bidone,1955,False
710,Il Posto,1961,False
711,Il Sorpasso,1962,False
712,Immortal Love,1961,False
713,In Heaven There Is No Beer?,1984,False
714,In the Mood for Love,2000,True
715,In the Realm of the Senses,1976,True
716,In This Our Life,1942,False
717,In Vanda's Room,2000,False
718,In Which We Serve,1942,True
719,Incident by a Bank,2010,False
720,India: Matri Bhumi,1959,False
721,Indiscretion of an American Wife,1954,True
722,Ingrid Bergman in Her Own Words,2015,False
723,Innocence Unprotected,1968,True
724,Insiang,1976,True
725,Inside Daisy Clover,1965,False
726,Insignificance,1985,True
727,Insomnia,1997,True
728,Intentions of Murder,1964,True
729,Intermezzo,1936,True
730,Interview with Salvador Allende: Power and Reason,1973,False
731,Intimate Relations,1996,False
732,Intimidation,1960,True
733,Into the West,1993,False
734,Invasion of Astro-Monster,1965,False
735,Invitation to the Dance,1956,False
736,Ironfinger,1965,False
737,Isle of the Dead,1945,False
738,It Happened in Brooklyn,1947,False
739,"It's All Right, It's Ok",2017,False
740,It's Always Fair Weather,1955,False
741,Italian for Beginners,2001,False
742,"Ivan the Terrible, Part 1",1944,False
743,"Ivan the Terrible, Part 2",1958,False
744,Ivan's Childhood,1962,False
745,"IX Olympic Winter Games, Innsbruck 1964",1964,False
746,J.M. Mondesir,2012,False
747,Jaguar,1967,False
748,"James Stewart, Robert Mitchum: The Two Faces of America",2017,False
749,Japanese Girls at the Harbor,1933,True
750,Japanese Summer: Double Suicide,1967,True
751,Jar City,2006,False
752,"Je t'aime, je t'aime",1968,False
753,Je tu il elle,1975,True
754,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,True
755,Jellyfish Eyes,2013,True
756,Jezebel,1938,False
757,Jigoku,1960,True
758,Jimi Plays Monterey,1986,False
759,John's Gone,2010,False
760,Johnny Eager,1942,False
761,Jour De Fête,1949,False
762,Journey to Italy,1955,True
763,Jubilation Street,1944,True
764,Jubilee,1979,True
765,Judex,1963,True
766,Jules and Jim,1962,True
767,Juliet of the Spirits,1965,True
768,June Night,1940,True
769,Jungle Book,1942,True
770,Junkopia,1981,False
771,Just Neighbors,1919,False
772,Kabala,2002,False
773,Kaiju Bunraku,2017,False
774,Kaisha Monogatari: Memories of You,1988,False
775,Kanal,1957,True
776,Kaos,1984,False
777,Kapo,1959,False
778,Karen Cries on the Bus,2011,False
779,Katzelmacher,1969,True
780,Keep Your Powder Dry,1945,False
781,Keeper of the Flame,1943,False
782,Key Largo,1948,False
783,Kidnapped,1948,False
784,Kill!,1968,True
785,Killers On Parade,1961,False
786,King Kong,1933,False
787,King Solomon's Mines,1937,False
788,Kings of the Road,1976,True
789,Kitty,2016,False
790,Knife in the Water,1962,True
791,Knight Without Armour,1937,False
792,Koko Sees Spooks,1925,False
793,Koko: A Talking Gorilla,1978,True
794,Kramer vs. Kramer,1979,False
795,Kuroneko,1968,True
796,Kwaidan,1965,True
797,L'amore,1948,False
798,L'argent,1983,False
799,L'assassin Habite Au 21,1942,False
800,L'Atalante,1934,False
801,L'Avventura,1960,False
802,L'Eclisse,1962,False
803,L'enfance nue,1968,False
804,L'opéra-mouffe,1958,False
805,L.A. Woman,1987,False
806,La Balance,1982,False
807,La Boutique,1967,False
808,La Bête Humaine,1938,False
809,La Cambrure,1999,False
810,La Chambre,1972,False
811,La Chasse au Lion a l'arc,1965,False
812,La Chienne,1931,False
813,La Ciénaga,2001,True
814,La Collectionneuse,1967,False
815,La Commare Secca,1962,False
816,La Cérémonie,1995,False
817,La Grande Vadrouille,1966,False
818,La Haine,1995,False
819,La Jetée,1963,True
820,La Main du Diable,1943,False
821,La notte,1961,True
822,La Nuit de la Verite,2004,False
823,La Nuit de Varennes,1982,False
824,La Pointe Courte,1955,True
825,La Poison,1951,False
826,La Promesse,1996,False
827,La Punition,1962,False
828,La ronde,1950,True
829,La Strada,1954,False
830,La Terra Trema,1948,False
831,La Tete d'un Homme,1933,False
832,La Truite,1982,False
833,La Vie de Bohème,1992,False
834,"Lacombe, Lucien",1974,True
835,Lady Snowblood,1973,True
836,Lady Snowblood 2: Love Song of Vengeance,1974,False
837,Land of Milk and Honey,1971,True
838,Late Autumn,1960,True
839,Late Chrysanthemums,1954,False
840,Late Spring,1949,True
841,"Laugh, Clown, Laugh",1928,False
842,Law of the Border,1966,True
843,Le Amiche,1955,False
844,Le Beau Serge,1958,False
845,Le Bonheur,1965,False
846,Le Cercle Rouge,1970,False
847,Le Chant du Styrène,1959,False
848,Le ciel est à vous,1944,True
849,Le Deuxième Souffle,1966,False
